Unix_Timestamp;X;Y;Z;Pitch;Yaw;Roll
1776852594.972694;1.0343627556297473e-06;4.979546486469027e-05;0.000987579233589154;1.0173692589039924e-06;0.0;0.0
1776852594.98606;1.0426349211840153e-06;4.960499187332691e-05;0.0009506004294908992;1.0540588858668588e-06;0.0;0.0
1776852595.012399;1.071562477580107e-06;4.90147221525843e-05;0.0009202016064026511;1.1592013140179935e-06;0.0;0.0
1776852595.048921;1.1665309714414848e-06;4.8396271360303865e-05;0.0007471606844468097;3.531693648141624e-06;0.0;0.0
1776852595.073756;1.2054334098855478e-06;4.814296540841308e-05;0.0006048689061064147;4.6843972296152445e-06;0.0;0.0
1776852595.100185;1.2235890388087492e-06;4.799680422851336e-05;0.0004984997583315344;5.8140026095801585e-06;0.0;0.0
1776852595.139935;1.239654331667487e-06;4.765097858619328e-05;0.00044125396821547027;6.935444886949952e-06;0.0;0.0
1776852595.166968;1.275047938246089e-06;4.524540690446025e-05;0.00040940414172323193;6.5426705867077145e-06;0.0;0.0
1776852595.191893;1.2625314501104602e-06;4.5059409193416296e-05;0.00040726778185656674;8.457903458461066e-06;0.0;0.0
1776852595.213857;1.2562725489485093e-06;4.394610633445484e-05;0.00040249187698259797;8.904860579807268e-06;0.0;0.0
1776852595.238618;1.2579741118063288e-06;4.1181538137515104e-05;0.000370977744583006;8.1878241757407e-06;0.0;0.0
1776852595.258399;1.2674087370456603e-06;3.7385184744626066e-05;0.0003051028563031211;6.7568467878514196e-06;0.0;0.0
1776852595.284816;1.3502675281776096e-06;3.530122266081354e-05;0.00029074410258705507;6.122501080295114e-06;0.0;0.0
1776852595.312007;1.3926676499335536e-06;3.442461494751792e-05;0.0002852519524881558;5.948578426164624e-06;0.0;0.0
1776852595.333538;1.4080581884400741e-06;3.3962080806806665e-05;0.0002696843851689077;5.897547898976239e-06;0.0;0.0
1776852595.358279;1.4470097169232229e-06;3.318247260064641e-05;0.0002297606146546235;5.775986633490876e-06;0.0;0.0
1776852595.381154;1.506159337591277e-06;3.279564477727294e-05;0.00022482327474919356;5.777511111786587e-06;0.0;0.0
1776852595.407069;1.5260793548605727e-06;3.253396724761685e-05;0.00023353398030961835;6.124538434521282e-06;0.0;0.0
1776852595.431653;1.522735162013912e-06;3.128198268213347e-05;0.00024054363704018955;6.369438581784308e-06;0.0;0.0
1776852595.453826;1.5206831514604898e-06;2.8751416241051395e-05;0.00023571956361817962;6.250400676397638e-06;0.0;0.0
1776852595.474451;1.4264125096346138e-06;2.850240738043491e-05;0.00023722405374467867;6.2854006334312466e-06;0.0;0.0
1776852595.499411;1.3462911152141234e-06;2.8308448522934607e-05;0.0002564387049859763;6.898383752815883e-06;0.0;0.0
1776852595.521539;1.3024202909760377e-06;2.7987467014717115e-05;0.0002927864465838124;7.946772868447558e-06;0.0;0.0
1776852595.559242;1.285291605392381e-06;2.7048343863385092e-05;0.0004730561297096521;1.1966584037709298e-05;0.0;0.0
1776852595.581036;1.3211436760702385e-06;2.662195957932363e-05;0.0005184733014966953;1.3053308129955777e-05;0.0;0.0
1776852595.607215;1.330164849190724e-06;2.5560038891489363e-05;0.0005149653262957761;1.3275564507248366e-05;0.0;0.0
1776852595.631802;1.2990827085355947e-06;2.4184380899072755e-05;0.0005105333618374193;1.3447299532812855e-05;0.0;0.0
1776852595.655879;1.3005465613032798e-06;2.3060267089111813e-05;0.0005097275040890079;1.3539325444865102e-05;0.0;0.0
1776852595.683274;1.3395957110540156e-06;2.085612187451436e-05;0.0005101513407347964;1.4598828538188285e-05;0.0;0.0
1776852595.702311;1.3466733115945072e-06;1.889095828246979e-05;0.0005033294052311979;1.497639398801948e-05;0.0;0.0
1776852595.726324;1.3514605992208694e-06;1.6738909347486828e-05;0.0004979274882356175;1.5521039335747746e-05;0.0;0.0
1776852595.748468;1.3695478106181007e-06;1.6436575386364195e-05;0.0005134328633905194;1.6750604373045846e-05;0.0;0.0
1776852595.773685;1.8506315483907757e-06;1.635245289123756e-05;0.001074496424451888;4.229220289050883e-05;0.0;0.0
1776852595.804324;1.9128319685323586e-06;1.6133613636235625e-05;0.0011104872747553969;5.0188266291204834e-05;0.0;0.0
1776852595.828037;1.8608235934613454e-06;1.5800228371418762e-05;0.0011097246883719483;5.17319101138224e-05;0.0;0.0
1776852595.851118;1.919249721548423e-06;1.5001148313771086e-05;0.0011055985987857085;5.618660495955368e-05;0.0;0.0
1776852595.868422;1.9731753142736637e-06;1.4236111921857389e-05;0.0011026288382840201;5.9455951177886006e-05;0.0;0.0
1776852595.896839;2.0217657034664518e-06;1.2634033146721072e-05;0.0011004141971611818;6.211542480871981e-05;0.0;0.0
1776852595.92262;2.0487751753119402e-06;1.1800779509085161e-05;0.0010874594855611922;6.219151181924324e-05;0.0;0.0
1776852595.954297;2.078739012238493e-06;1.1244198812171125e-05;0.001094380580082617;7.687309012407996e-05;0.0;0.0
1776852595.983817;2.8321181560967644e-06;1.1077496166859003e-05;0.001096535252301138;8.276859565417485e-05;0.0;0.0
1776852596.010195;3.0821443215731705e-06;1.0677896943103531e-05;0.001090451521484779;8.357253924502222e-05;0.0;0.0
1776852596.032948;3.111923702832675e-06;1.04414457587004e-05;0.0010904338241496993;8.589861234516635e-05;0.0;0.0
1776852596.056814;3.1159986973212924e-06;1.0425615614431315e-05;0.001096236518367389;9.062171969828248e-05;0.0;0.0
1776852596.07932;3.118339102574078e-06;1.0260357599938153e-05;0.0010806409451297602;9.102508412940212e-05;0.0;0.0
1776852596.10376;3.1354815043154716e-06;9.95421668240429e-06;0.0010705779049105068;9.157215459089623e-05;0.0;0.0
1776852596.126585;3.1507692247125115e-06;8.642915130476409e-06;0.0009820358845674892;9.57272031286807e-05;0.0;0.0
1776852596.151261;3.159694128905064e-06;5.3620778811810825e-06;0.000758419584116111;0.00010585294753005523;0.0;0.0
1776852596.176942;3.193325007824427e-06;1.5793814470509564e-06;0.0007539335622719472;0.00010587161926285216;0.0;0.0
1776852596.1978;1.8474112944821017e-06;6.494572782392456e-07;0.0007557340387784169;0.0001063837872994151;0.0;0.0
1776852596.223877;9.228061980589949e-07;1.953864696971274e-08;0.000593532200691939;0.00010981848134324705;0.0;0.0
1776852596.247702;3.216204422497653e-07;-1.4866296334464596e-07;0.000563704979551899;0.00011425444763618704;0.0;0.0
1776852596.272244;7.057306460374936e-09;-1.8658696835939657e-07;0.0005910583682553729;0.00011780249656483071;0.0;0.0
