file,split,frame_idx,frame_mean,z_score,iqr_outlier,window_indices
subject18_run6_log_preprocessed.csv,VAL,182,-1.073543906211853,-3.0011544481300008,True,"[5, 6]"
subject18_run6_log_preprocessed.csv,VAL,209,-1.1267437934875488,-3.1502436060804517,True,"[5, 6]"
subject18_run6_log_preprocessed.csv,VAL,213,-1.3136160373687744,-3.6739406834855632,True,[6]
subject18_run6_log_preprocessed.csv,VAL,217,-1.392625093460083,-3.895358326385242,True,[6]
subject18_run6_log_preprocessed.csv,VAL,238,-1.113823413848877,-3.114035098518261,True,[6]
subject18_run6_log_preprocessed.csv,VAL,242,-1.4890222549438477,-4.165504982146932,True,[]
subject23_run8_log_preprocessed.csv,VAL,977,1.0964397192001343,3.080080833485717,True,"[31, 32]"
subject23_run8_log_preprocessed.csv,VAL,981,1.1317198276519775,3.178950999022494,True,"[31, 32]"
subject7_run1_log_preprocessed.csv,VAL,22,-1.154046654701233,-3.2267580649719054,True,[0]
subject7_run1_log_preprocessed.csv,VAL,62,-1.09123694896698,-3.0507380277393565,True,"[1, 2]"
subject7_run1_log_preprocessed.csv,VAL,82,-1.1322277784347534,-3.165612110411197,True,"[1, 2]"
subject7_run1_log_preprocessed.csv,VAL,106,-1.074049711227417,-3.002571933160876,True,"[2, 3]"
subject7_run1_log_preprocessed.csv,VAL,118,-1.2379181385040283,-3.4618023392466415,True,"[2, 3]"
subject7_run1_log_preprocessed.csv,VAL,126,-1.230871558189392,-3.4420547649689928,True,"[3, 4]"
subject7_run1_log_preprocessed.csv,VAL,130,-1.138145089149475,-3.18219498148416,True,"[3, 4]"
subject7_run1_log_preprocessed.csv,VAL,134,-1.1127277612686157,-3.1109646047829855,True,"[3, 4]"
subject7_run1_log_preprocessed.csv,VAL,138,-1.2988903522491455,-3.6326729269703737,True,"[3, 4]"
subject7_run1_log_preprocessed.csv,VAL,146,-1.1507527828216553,-3.217527207350385,True,"[3, 4]"
subject7_run1_log_preprocessed.csv,VAL,154,-1.2726900577545166,-3.5592483382298896,True,"[4, 5]"
subject7_run1_log_preprocessed.csv,VAL,158,-1.2214930057525635,-3.4157719933842543,True,"[4, 5]"
subject7_run1_log_preprocessed.csv,VAL,162,-1.1876254081726074,-3.320860295943363,True,"[4, 5]"
subject7_run1_log_preprocessed.csv,VAL,166,-1.1952073574066162,-3.342108206132786,True,"[4, 5]"
subject7_run1_log_preprocessed.csv,VAL,170,-1.3067020177841187,-3.6545646018674325,True,"[4, 5]"
subject7_run1_log_preprocessed.csv,VAL,174,-1.2523589134216309,-3.5022716538047747,True,"[4, 5]"
subject7_run1_log_preprocessed.csv,VAL,178,-1.1744155883789062,-3.283840651531074,True,"[4, 5]"
subject7_run1_log_preprocessed.csv,VAL,182,-1.201627492904663,-3.360100210333308,True,"[5, 6]"
subject7_run1_log_preprocessed.csv,VAL,186,-1.1703457832336426,-3.272435292362071,True,"[5, 6]"
subject7_run1_log_preprocessed.csv,VAL,190,-1.356569528579712,-3.7943149956055136,True,"[5, 6]"
subject7_run1_log_preprocessed.csv,VAL,194,-1.1857227087020874,-3.315528106789981,True,"[5, 6]"
subject7_run1_log_preprocessed.csv,VAL,198,-1.3312679529190063,-3.723409006829151,True,"[5, 6]"
subject7_run1_log_preprocessed.csv,VAL,202,-1.3480623960494995,-3.7704743205505182,True,"[5, 6]"
subject7_run1_log_preprocessed.csv,VAL,206,-1.3538415431976318,-3.7866699973857285,True,"[5, 6]"
subject7_run1_log_preprocessed.csv,VAL,214,-1.2310752868652344,-3.442625701079708,True,"[6, 7]"
