Record_num;Frame_signature;Status;Unix_Timestamp;X;Y;Z;Pitch;Yaw;Roll
0;1;0;1776688676.4796045;11.028867576146006;50.0;50.0;180.0;-110.22207542689068;159.12183766137153
0;5;0;1776688676.5118506;22.1621986682079;50.0;50.0;180.0;-103.00511939777513;160.6452966203534
0;8;0;1776688676.5659742;33.73144215326101;50.0;50.0;180.0;-107.68866021561985;160.2611808448544
0;10;0;1776688676.5979073;33.27924477736068;50.0;50.0;180.0;-106.78179291224134;160.35870118796925
0;11;0;1776688676.6153605;30.738778502296586;50.0;50.0;180.0;-106.77874573681561;160.37094353712692
0;15;0;1776688676.6786938;30.668282766434718;50.0;50.0;180.0;-103.39348405168467;161.2543561733199
0;17;0;1776688676.6961179;28.395892822399745;50.0;50.0;180.0;-0.015749073447685193;180.0
0;19;0;1776688676.725954;4.161974004589361;50.0;50.0;180.0;-109.8388931171031;159.65518992629555
0;21;0;1776688676.7579699;2.8737728815335446;50.0;50.0;180.0;-103.11801510140084;168.93153225714155
0;23;0;1776688676.7896793;-16.848224555369896;50.0;50.0;180.0;-108.80579335286578;160.2119539404413
0;25;0;1776688676.8075976;-21.780994757332294;50.0;50.0;180.0;-99.37956003364769;166.01272446095038
0;28;0;1776688676.8703556;50.0;50.0;50.0;-180.0;-180.0;-180.0
0;29;0;1776688676.934204;-50.0;50.0;50.0;180.0;-94.42100090413842;166.65902607695477
0;30;0;1776688676.9816802;-50.0;50.0;50.0;180.0;-94.55883194469878;166.3478386513459
0;34;0;1776688677.0460415;-50.0;50.0;50.0;180.0;-95.178116702527;166.21009344671305
0;36;0;1776688677.0782118;-50.0;50.0;50.0;180.0;-95.81030903795093;166.2685477133309
0;37;0;1776688677.1583133;37.31697872794971;50.0;50.0;-168.36387780969602;-180.0;-180.0
0;40;0;1776688677.1901975;0.8973857491020608;50.0;50.0;-180.0;-180.0;-180.0
0;42;0;1776688677.2078476;0.8973199937149026;50.0;50.0;-180.0;-180.0;-180.0
0;45;0;1776688677.236815;0.897658922686388;50.0;50.0;-180.0;-180.0;-180.0
0;49;0;1776688677.2683537;0.8980174106257248;50.0;50.0;-180.0;-180.0;-180.0
0;53;0;1776688677.2998834;0.8981933481984469;50.0;50.0;-180.0;-180.0;-180.0
0;57;0;1776688677.3318806;-50.0;50.0;26.32352741313404;180.0;-180.0;124.37214953190808
0;61;0;1776688677.4256856;50.0;50.0;50.0;-180.0;-180.0;-180.0
0;65;0;1776688677.4577951;50.0;50.0;50.0;-180.0;-180.0;-180.0
0;66;0;1776688677.4901187;50.0;50.0;50.0;-167.4456479754166;-180.0;-180.0
0;70;0;1776688677.5222797;50.0;50.0;50.0;-174.1895192901941;-180.0;-180.0
0;74;0;1776688677.5536757;50.0;50.0;50.0;-170.80798073841785;-180.0;-180.0
0;76;0;1776688677.5852518;50.0;50.0;50.0;41.51227972355109;-180.0;-180.0
0;80;0;1776688677.6170938;50.0;50.0;50.0;-180.0;-180.0;-180.0
0;84;0;1776688677.649197;50.0;50.0;50.0;-180.0;-180.0;-180.0
0;88;0;1776688677.6811643;50.0;50.0;50.0;-180.0;-180.0;-180.0
0;91;0;1776688677.7127838;50.0;50.0;50.0;41.05798234784152;-180.0;-180.0
0;95;0;1776688677.7457457;50.0;50.0;50.0;41.375406290056766;-180.0;-180.0
0;99;0;1776688677.7771857;50.0;50.0;50.0;-180.0;-180.0;-180.0
0;103;0;1776688677.809731;50.0;50.0;50.0;-180.0;-180.0;-180.0
0;107;0;1776688677.8416915;50.0;50.0;50.0;-180.0;-180.0;-180.0
0;111;0;1776688677.8740041;50.0;50.0;50.0;-180.0;-180.0;-180.0
0;114;0;1776688677.9058228;50.0;50.0;50.0;-180.0;-180.0;-180.0
0;118;0;1776688677.9375136;50.0;50.0;50.0;-180.0;-180.0;-180.0
0;120;0;1776688677.9549644;50.0;50.0;50.0;-180.0;-180.0;-180.0
0;124;0;1776688677.98596;50.0;50.0;50.0;-180.0;-180.0;-180.0
0;128;0;1776688678.0172043;50.0;50.0;50.0;180.0;1.0611213386506306;180.0
0;129;0;1776688678.0492742;50.0;50.0;50.0;-180.0;-180.0;-180.0
0;130;0;1776688678.1294584;50.0;50.0;50.0;-180.0;-180.0;-180.0
0;131;0;1776688678.161184;50.0;50.0;50.0;-179.55758017075627;-180.0;-180.0
0;132;0;1776688678.179457;50.0;50.0;50.0;-180.0;-180.0;-180.0
0;136;0;1776688678.209261;50.0;50.0;50.0;-180.0;-180.0;-180.0
0;140;0;1776688678.241626;50.0;50.0;50.0;-169.19005934123786;-180.0;-180.0
0;141;0;1776688678.2735693;50.0;50.0;50.0;-176.00166593229264;-180.0;-180.0
0;142;0;1776688678.3696027;50.0;50.0;50.0;-176.01022806605934;-180.0;-180.0
0;144;0;1776688678.4019585;50.0;50.0;50.0;-180.0;-180.0;-180.0
0;146;0;1776688678.4330332;50.0;50.0;50.0;180.0;-94.83372150247207;171.07248414896537
0;149;0;1776688678.46466;50.0;50.0;50.0;180.0;-0.0002884068245788215;180.0
0;150;0;1776688678.4971619;50.0;50.0;50.0;-178.99623466398097;-180.0;-180.0
0;151;0;1776688678.6744876;50.0;50.0;50.0;-180.0;-180.0;-180.0
0;154;0;1776688678.7052994;50.0;50.0;50.0;-180.0;-180.0;-180.0
0;158;0;1776688678.7374756;50.0;50.0;50.0;-180.0;-180.0;-180.0
0;162;0;1776688678.7691436;50.0;50.0;50.0;-180.0;-180.0;-180.0
0;166;0;1776688678.8011317;50.0;50.0;50.0;-180.0;-180.0;-180.0
0;170;0;1776688678.832573;50.0;50.0;50.0;-180.0;-180.0;-180.0
0;172;0;1776688678.8508432;50.0;50.0;50.0;-180.0;-180.0;-180.0
0;175;0;1776688678.8806913;50.0;50.0;50.0;-180.0;-180.0;-180.0
0;179;0;1776688678.9130442;50.0;50.0;50.0;-180.0;-180.0;-180.0
0;183;0;1776688678.9453938;50.0;50.0;50.0;-180.0;-180.0;-180.0
0;185;0;1776688678.9628203;50.0;50.0;50.0;-180.0;-180.0;-180.0
0;189;0;1776688678.9948316;50.0;50.0;50.0;-180.0;-180.0;-180.0
0;193;0;1776688679.0256283;50.0;50.0;50.0;-180.0;-180.0;-180.0
0;197;0;1776688679.0577524;50.0;50.0;50.0;-180.0;-180.0;-180.0
0;201;0;1776688679.089292;50.0;50.0;50.0;-180.0;-180.0;-180.0
