Record_num;Frame_signature;Status;Unix_Timestamp;X;Y;Z;Pitch;Yaw;Roll
0;9946;0;1776848654.8160186;1.8197680453943303;0.7898784852366972;-5.362447196002526;-33.883600938758924;-10.803568682332678;0.0
0;9949;0;1776848654.8348596;1.7925166286246605;1.1298307632924087;-5.50936708402002;-37.84163235613899;-10.877146837017602;0.0
0;9951;0;1776848654.8548992;1.8198405067133234;1.2724191781722576;-5.541305947142236;-40.03325158653406;-11.139660597589728;0.0
0;9954;0;1776848654.8814285;1.8194029446611006;1.6637595707059145;-5.63133904285311;-43.36426764786669;-11.3801916430141;0.0
0;9958;0;1776848654.913133;1.7296012035985284;3.030529812725081;-6.075116748783038;-50.88932637394708;-12.272036317896218;0.0
0;9962;0;1776848654.9451017;1.7300708051028506;3.8007716530664406;-6.071692998029589;-58.148722904458886;-12.77039568931972;0.0
0;9966;0;1776848654.9768927;1.6322100241818884;5.127519031136505;-6.22815170153036;-66.06356257725233;-13.629480546002336;0.0
0;9969;0;1776848655.0090532;1.5263108800256937;6.012594738424548;-6.2425545529044975;-70.85185005035707;-13.755844443125115;0.0
0;9973;0;1776848655.0414631;1.35265937809367;6.534961122285678;-6.116855586178318;-75.91023099878684;-14.357920438678814;0.0
0;9975;0;1776848655.0589776;1.3339274751683814;7.249997496452115;-6.192284652560009;-78.23526340184948;-15.415357370731092;0.0
0;9979;0;1776848655.0903864;1.3162114277781274;7.445982079842672;-6.128179297184963;-81.20910275704999;-16.66924189351195;0.0
0;9983;0;1776848655.1220531;1.21121218241899;7.880244068498977;-6.049840601490493;-83.99225759934077;-17.24070262786692;0.0
0;9985;0;1776848655.1402905;1.1929526751362884;8.21297154324414;-6.044019852657862;-84.84767699368248;-17.242760007753844;0.0
0;9989;0;1776848655.1693392;1.1256484971380871;8.460763920679973;-6.0216727073700635;-85.43063705994781;-17.954773049807727;0.0
0;9992;0;1776848655.200771;1.0668745438476144;8.478978721750442;-5.910469357408403;-87.05801113864219;-18.289531825816013;0.0
