Record_num;Frame_signature;Status;Unix_Timestamp;X;Y;Z;Pitch;Yaw;Roll
0;17774;0;1776852572.3793774;-0.006425286113564613;0.37693113792599653;-0.08867003939086714;-0.050944985105231266;0.8672918275345204;0.0
0;17777;0;1776852572.408178;-0.006413944386187282;0.37687241445347075;-0.08858247808300299;-0.050895130693246714;0.8647815457763001;0.0
0;17779;0;1776852572.4257932;-0.006403840374744309;0.37684335541551983;-0.08858346767363834;-0.05088522372676261;0.8626223195496332;0.0
0;17783;0;1776852572.4559724;-0.006430776158670275;0.3765952592221167;-0.08869879573050607;-0.050874698557187466;0.8651880090696387;0.0
0;17787;0;1776852572.4879398;-0.006431444132349135;0.3762081313655685;-0.08876446962196487;-0.05087062260799411;0.865274599414456;0.0
0;17790;0;1776852572.5200267;-0.0066417401464024875;0.3760069766950092;-0.08908747782646384;-0.050875814466156855;0.89658140983365;0.0
0;17794;0;1776852572.5521126;-0.006642535457111631;0.37599209790875066;-0.08907209260264487;-0.05087065404204959;0.8960368881686619;0.0
0;17798;0;1776852572.583742;-0.006640102956013126;0.3759886285204056;-0.08798863056385203;-0.050833734743893313;0.8865645079795224;0.0
0;17802;0;1776852572.6156154;-0.0066381776201152355;0.3759764507344694;-0.08798067309091956;-0.050835757001462256;0.8815902153927423;0.0
0;17806;0;1776852572.6477304;-0.006676114595817543;0.37594764782585943;-0.08798728588481224;-0.050837360138291515;0.8809299325794555;0.0
0;17810;0;1776852572.6792374;-0.006675117001140291;0.3758925101641064;-0.08798843264572496;-0.050841614213799236;0.8787516782712073;0.0
0;17813;0;1776852572.711446;-0.006674860144159205;0.37585402090951275;-0.08793849906648958;-0.05083979627759089;0.8784398524408876;0.0
0;17815;0;1776852572.7289023;-0.006675519386155989;0.3757453289310232;-0.0879539075747941;-0.05084306018035112;0.8784718732653989;0.0
0;17819;0;1776852572.7589378;-0.006670938163626465;0.375656964308408;-0.08801061111819954;-0.050846696052767815;0.8782450451210859;0.0
0;17822;0;1776852572.7840574;-0.006671122256590247;0.37565251697167035;-0.08795131135465664;-0.050834457727169255;0.8782338126852626;0.0
